
| tags | error | The tags for operation "VirtualNetworkTaps_Get" changed: ["VirtualNetworkTap"] -> ["VirtualNetworkTaps"] |
| tags | error | The tags for operation "VirtualNetworkTaps_CreateOrUpdate" changed: ["VirtualNetworkTap"] -> ["VirtualNetworkTaps"] |
| tags | error | The tags for operation "VirtualNetworkTaps_UpdateTags" changed: ["VirtualNetworkTap"] -> ["VirtualNetworkTaps"] |
| tags | error | The tags for operation "VirtualWans_Get" changed: [] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VirtualWans_CreateOrUpdate" changed: [] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VirtualWans_UpdateTags" changed: ["VirtualWANs"] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VirtualWans_Delete" changed: [] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VirtualWans_ListByResourceGroup" changed: [] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VirtualWans_List" changed: [] -> ["VirtualWANS"] |
| tags | error | The tags for operation "VpnSites_Get" changed: [] -> ["VpnSites"] |
| tags | error | The tags for operation "VpnSites_CreateOrUpdate" changed: [] -> ["VpnSites"] |
| tags | error | The tags for operation "VpnSites_Delete" changed: [] -> ["VpnSites"] |
| tags | error | The tags for operation "VpnSites_ListByResourceGroup" changed: [] -> ["VpnSites"] |
| tags | error | The tags for operation "VpnSiteLinks_Get" changed: [] -> ["VpnSiteLinks"] |
| tags | error | The tags for operation "VpnSiteLinks_ListByVpnSite" changed: [] -> ["VpnSiteLinks"] |
| tags | error | The tags for operation "VpnSites_List" changed: [] -> ["VpnSites"] |
| tags | error | The tags for operation "VpnServerConfigurations_Get" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VpnServerConfigurations_CreateOrUpdate" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VpnServerConfigurations_Delete" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VpnServerConfigurations_ListByResourceGroup" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_CreateOrUpdate" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_Delete" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "ConfigurationPolicyGroups_Get" changed: [] -> ["VpnServerConfigurationPolicyGroups"] |
| tags | error | The tags for operation "VpnServerConfigurations_List" changed: [] -> ["VpnServerConfigurations"] |
| tags | error | The tags for operation "VirtualHubs_Get" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_CreateOrUpdate" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_UpdateTags" changed: ["VirtualWANs"] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_Delete" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_ListByResourceGroup" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "VirtualHubs_List" changed: [] -> ["VirtualHubs"] |
| tags | error | The tags for operation "RouteMaps_Get" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_CreateOrUpdate" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_Delete" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "RouteMaps_List" changed: [] -> ["RouteMaps"] |
| tags | error | The tags for operation "VpnGateways_Get" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_CreateOrUpdate" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_Delete" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnLinkConnections_ResetConnection" changed: ["vpnLinkConnections"] -> ["VpnSiteLinkConnections"] |
| tags | error | The tags for operation "VpnLinkConnections_GetAllSharedKeys" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_GetDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_SetOrInitDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnLinkConnections_ListDefaultSharedKey" changed: [] -> ["ConnectionSharedKeyResults"] |
| tags | error | The tags for operation "VpnGateways_ListByResourceGroup" changed: [] -> ["VpnGateways"] |
| tags | error | The tags for operation "VpnGateways_List" changed: [] -> ["VpnGateways"] |
